order-now,product id,product name,avg lead time,avg order qty,current stock,max lead time,max order qty,mod,reorder point,safety stock
orange,646,Merrell Women's Grassbow Sport Hiking Shoe,10,3,175,30,5,0,175,146
green,647,Merrell Women's Siren Mid Waterproof Hiking B,10,1,67,30,1,1,35,25
orange,652,Merrell Women's Grassbow Sport Waterproof Hik,10,1,35,30,1,0,35,25
orange,666,Merrell Men's All Out Flash Trail Running Sho,10,1,35,30,1,0,35,25
green,671,Cleveland Golf Collegiate My Custom Wedge 588,10,1,61,30,1,1,35,25
green,677,TaylorMade White Smoke IN-12 Putter,10,3,327,30,5,1,175,145
green,691,MDGolf Pittsburgh Penguins Putter,10,3,324,30,5,1,175,148
green,703,Top Flite Women's 2014 XL Hybrid,10,3,324,30,5,1,175,146
green,705,Cleveland Golf Women's 588 RTX CB Satin Chrom,10,1,65,30,1,1,35,25
green,715,TaylorMade Women's RBZ SL Rescue,10,1,65,30,1,1,35,25
orange,724,LIJA Women's Mid-Length Panel Golf Shorts,10,3,175,30,5,0,175,144
green,725,LIJA Women's Button Golf Dress,10,1,65,30,1,1,35,25
orange,728,LIJA Women's Eyelet Sleeveless Golf Polo,10,3,175,30,5,0,175,145
orange,730,LIJA Women's Argyle Golf Polo,10,3,175,30,5,0,175,146
green,743,Ogio Race Golf Shoes,10,1,63,30,1,1,35,25
orange,768,Titleist Club Glove Travel Cover,10,1,35,30,1,0,35,25
green,771,Clicgear Rovic Cooler Bag,10,3,321,30,5,1,175,145
green,773,Titleist Small Wheeled Travel Cover,10,1,63,30,1,1,35,25
green,775,Clicgear 8.0 Shoe Brush,10,3,324,30,5,1,175,144
green,777,Bag Boy M330 Push Cart,10,3,327,30,5,1,175,145
orange,778,Bag Boy Beverage Holder,10,3,175,30,5,0,175,145
orange,786,TaylorMade 2014 Purelite Stand Bag,10,1,35,30,1,0,35,25
orange,792,Hirzl Men's Hybrid Golf Glove,10,3,175,30,5,0,175,145
green,793,Hirzl Women's Hybrid Golf Glove,10,3,325,30,5,1,175,147
green,797,Hirzl Women's Soffft Flex Golf Glove,10,3,328,30,5,1,175,146
orange,804,Glove It Women's Imperial Golf Glove,10,3,175,30,5,0,175,145
orange,810,Glove It Women's Mod Oval Golf Glove,10,3,175,30,5,0,175,147
orange,818,Titleist Pro V1x Golf Balls,10,3,175,30,5,0,175,146
green,821,Titleist Pro V1 High Numbers Personalized Gol,10,3,322,30,5,1,175,146
orange,822,Titleist Pro V1x High Numbers Golf Balls,10,3,175,30,5,0,175,145
green,823,Titleist Pro V1x High Numbers Personalized Go,10,3,324,30,5,1,175,146
green,825,Bridgestone e6 Straight Distance NFL Tennesse,10,3,324,30,5,1,175,144
orange,828,Bridgestone e6 Straight Distance NFL San Dieg,10,3,175,30,5,0,175,146
green,835,Bridgestone e6 Straight Distance NFL Carolina,10,3,325,30,5,1,175,145
green,845,Garmin Approach S4 Golf GPS Watch,10,1,65,30,1,1,35,25
orange,858,GolfBuddy VT3 GPS Watch,10,1,35,30,1,0,35,25
orange,860,Bushnell Pro X7 Jolt Slope Rangefinder,10,1,35,30,1,0,35,25
green,885,Team Golf St. Louis Cardinals Putter Grip,10,3,325,30,5,1,175,145
orange,886,Team Golf San Francisco Giants Putter Grip,10,3,175,30,5,0,175,146
green,893,Team Golf Pittsburgh Steelers Putter Grip,10,3,323,30,5,1,175,145
green,897,Team Golf New England Patriots Putter Grip,10,3,328,30,5,1,175,146
green,905,Team Golf Texas Longhorns Putter Grip,10,3,326,30,5,1,175,146
orange,906,Team Golf Tennessee Volunteers Putter Grip,10,3,175,30,5,0,175,145
green,917,Glove It Women's Mod Oval 3-Zip Carry All Gol,10,3,326,30,5,1,175,144
orange,924,Glove It Urban Brick Golf Towel,10,3,175,30,5,0,175,146
orange,926,Glove It Imperial Golf Towel,10,3,175,30,5,0,175,145
green,957,Diamondback Women's Serene Classic Comfort Bi,10,1,67,30,1,1,35,25
green,977,ENO Atlas Hammock Straps,10,3,327,30,5,1,175,145
green,981,The North Face Women's Recon Backpack,10,3,320,30,5,1,175,144
orange,982,insta-bed Neverflat Air Mattress,10,1,35,30,1,0,35,25
orange,1004,Field & Stream Sportsman 16 Gun Fire Safe,10,1,35,30,1,0,35,25
orange,1014,O'Brien Men's Neoprene Life Vest,10,3,175,30,5,0,175,146
green,1059,Pelican Maverick 100X Kayak,10,1,69,30,1,1,35,25
green,1073,Pelican Sunstream 100 Kayak,10,1,63,30,1,1,35,25
orange,1346,Sports Books,10,1,35,30,1,0,35,25
green,1347,Baby sweater,10,1,67,30,1,1,35,25
orange,1348,CDs of rock,10,1,35,30,1,0,35,25
green,1349,Web Camera,10,1,69,30,1,1,35,25
orange,1350,Children's heaters,10,1,35,30,1,0,35,25
green,1351,Dell Laptop,10,1,61,30,1,1,35,25
orange,1352,Industrial consumer electronics,10,1,35,30,1,0,35,25
green,1353,Porcelain crafts,10,1,63,30,1,1,35,25
orange,1354,DVDs,10,1,35,30,1,0,35,25
green,1355,Lawn mower,10,1,65,30,1,1,35,25
orange,1356,First aid kit,10,1,35,30,1,0,35,25
green,1357,Men's gala suit,10,1,67,30,1,1,35,25
orange,1358,Rock music,10,1,35,30,1,0,35,25
green,1359,Adult dog supplies,10,1,69,30,1,1,35,25
orange,1360,Smart watch,10,1,35,30,1,0,35,25
green,1361,Toys,10,1,61,30,1,1,35,25
orange,1362,Fighting video games,10,1,35,30,1,0,35,25
green,1363,Summer dresses,10,1,63,30,1,1,35,25
